82	218	69	73
81	215	72	85
80	214	79	89
81	217	82	84
86	218	82	77
89	217	87	81
96	217	82	83
100	218	83	107
101	215	86	107
98	218	88	103
95	218	95	102
119	222	93	96
118	223	105	92
117	231	91	85
112	230	96	88
136	229	81	81
146	230	72	79
146	235	75	75
145	237	81	77
163	228	68	85
167	226	69	93
172	227	68	93
177	231	68	89
180	232	69	89
185	232	69	91
189	232	66	94
194	234	67	90
198	235	64	88
199	236	71	86
199	238	77	78
202	238	76	80
205	235	80	87
202	231	83	96
203	226	82	109
201	226	89	110
201	231	93	102
217	229	79	109
213	230	85	106
222	230	80	109
229	234	75	99
237	228	72	109
236	229	73	103
244	234	66	89
242	231	69	101
250	231	59	101
247	228	65	102
271	217	51	110
263	228	66	97
293	223	49	103
297	229	45	96
293	238	50	85
289	245	53	75
277	250	60	67
276	237	57	74
264	249	70	68
263	247	70	62
267	253	57	54
265	252	61	61
245	242	68	61
248	248	81	54
241	244	72	61
240	245	79	61
228	242	63	56
225	239	69	69
222	229	57	59
220	229	53	62
218	231	51	70
214	230	54	72
208	229	58	69
198	233	64	68
192	220	62	66
185	222	68	66
178	227	80	66
170	224	72	70
171	230	59	54
167	232	59	55
162	229	60	58
160	225	56	58
156	229	56	56
153	226	54	60
149	235	58	51
140	239	61	45
142	239	59	42
139	241	57	42
137	238	56	45
135	237	51	40
133	240	48	40
132	242	59	41
131	242	56	46
128	242	55	47
130	239	47	56
131	242	40	55
131	242	40	55
123	229	47	56
103	236	53	52
92	225	61	60
78	223	73	68
104	236	78	66
147	177	65	69
