1
m712,712,28,70,0,1960
m703,729,29,66,0,1914
m687,744,29,66,0,1914
m667,761,37,62,0,2294
m642,781,42,57,0,2394
m629,792,44,54,0,2376
m624,792,47,52,0,2444
m622,790,49,51,0,2499
m615,791,46,54,0,2484
m613,793,44,55,0,2420
m596,805,50,51,0,2550
m584,814,46,52,0,2392
m556,829,58,42,0,2436
m524,838,65,38,0,2470
m499,846,59,41,0,2419
m495,844,52,50,0,2600
m493,850,44,55,0,2420
m484,854,47,53,0,2491
m483,853,49,53,0,2597
m481,852,50,52,0,2600
m475,852,58,45,0,2610
m466,851,65,33,0,2145
m506,756,33,59,0,1947
m503,768,36,55,0,1980
m489,779,51,43,0,2193
m508,770,33,59,0,1947
m509,776,31,59,0,1829
m509,780,32,60,0,1920
m497,784,35,61,0,2135
m480,790,46,47,0,2162
m458,798,56,36,0,2016
m433,805,61,33,0,2013
m409,806,62,27,0,1674
m400,804,59,34,0,2006
m401,807,58,38,0,2204
m405,806,59,27,0,1593
m347,739,40,55,0,2200
m409,795,57,40,0,2280
m407,792,57,35,0,1995
m406,708,58,53,0,3074
m414,709,64,39,0,2496
m426,707,68,39,0,2652
m445,713,69,33,0,2277
m461,704,65,37,0,2405
m471,674,49,56,0,2744
m479,641,41,67,0,2747
m471,606,37,69,0,2553
m462,555,30,69,0,2070
m435,519,38,63,0,2394
m400,471,45,59,0,2655
m356,460,58,46,0,2668
m332,466,66,39,0,2574
m303,460,66,37,0,2442
m298,448,58,45,0,2610
m297,440,51,52,0,2652
m297,405,41,61,0,2501
m281,369,38,63,0,2394
m271,319,33,66,0,2178
m255,267,36,67,0,2412
m244,254,42,61,0,2562
m247,249,41,65,0,2665
m262,245,33,70,0,2310
m280,233,32,66,0,2112
m291,218,43,62,0,2666
m315,204,47,57,0,2679
m324,202,49,56,0,2744
m337,202,47,57,0,2679
m339,195,44,61,0,2684
m331,197,33,70,0,2310
m312,217,37,67,0,2479
m290,241,56,50,0,2800
m265,263,69,34,0,2346
m252,282,68,34,0,2312
m226,306,64,38,0,2432
m197,321,65,38,0,2470
m192,322,64,40,0,2560
m189,321,68,48,0,3264
m196,320,63,45,0,2835
m213,316,51,52,0,2652
m228,314,36,62,0,2232
m241,318,27,66,0,1782
m246,333,28,68,0,1904
m252,355,26,70,0,1820
m258,395,26,70,0,1820
m255,441,30,68,0,2040
m241,480,35,64,0,2240
m214,505,48,55,0,2640
m179,523,62,36,0,2232
m103,448,33,56,0,1848
m105,464,34,51,0,1734
m102,470,33,52,0,1716
m127,507,66,45,0,2970
m131,511,70,44,0,3080
m132,511,69,46,0,3174
m133,506,68,47,0,3196
m134,510,68,42,0,2856
m133,514,69,37,0,2553
m107,512,78,45,0,3510
m129,511,75,41,0,3075
m103,526,32,57,0,1824
m113,525,63,42,0,2646
m112,530,36,58,0,2088
m112,548,26,58,0,1508
m108,553,28,56,0,1568
m117,573,27,59,0,1593
m124,583,27,60,0,1620
m128,601,26,59,0,1534
m129,620,26,56,0,1456
m123,625,31,53,0,1643
m123,624,28,50,0,1400
m123,624,26,47,0,1222
m123,626,26,45,0,1170
m135,572,30,53,0,1590
m134,510,63,35,0,2205
m204,561,33,55,0,1815
m168,507,31,60,0,1860
m167,507,31,62,0,1922
m167,506,28,64,0,1792
m166,506,27,67,0,1809
m163,506,29,66,0,1914
m160,506,31,65,0,2015
m158,506,32,67,0,2144
m160,507,29,68,0,1972
m162,505,29,70,0,2030
m167,509,36,65,0,2340
m170,512,34,65,0,2210
m173,515,39,65,0,2535
m172,515,47,62,0,2914
m176,518,46,59,0,2714
m187,525,32,66,0,2112
m189,537,29,68,0,1972
m193,555,27,67,0,1809
m195,557,30,64,0,1920
m196,558,30,66,0,1980
m195,562,29,67,0,1943
m186,583,30,68,0,2040
m176,615,35,61,0,2135
m169,630,34,64,0,2176
m167,628,33,67,0,2211
m171,627,30,67,0,2010
m172,626,29,67,0,1943
m172,625,29,67,0,1943
m170,626,32,65,0,2080
m156,632,46,51,0,2346
m151,627,53,51,0,2703
m149,628,52,52,0,2704
m152,630,47,55,0,2585
m155,633,41,58,0,2378
m157,637,38,61,0,2318
m159,634,36,63,0,2268
m160,633,36,62,0,2232
m160,634,36,61,0,2196
m161,634,35,64,0,2240
m162,634,35,63,0,2205
m162,634,35,63,0,2205
m162,637,35,62,0,2170
m164,635,34,61,0,2074
m162,635,35,62,0,2170
m161,636,35,60,0,2100
m161,637,36,62,0,2232
m162,638,35,62,0,2170
m162,639,34,62,0,2108
m165,635,32,64,0,2048
m168,630,31,66,0,2046
m170,628,31,68,0,2108
m173,629,34,66,0,2244
m179,629,36,62,0,2232
m186,631,37,62,0,2294
m181,636,47,54,0,2538
m175,645,61,39,0,2379
m174,647,63,37,0,2331
m176,649,64,36,0,2304
m175,650,65,39,0,2535
m176,650,63,38,0,2394
m175,650,65,38,0,2470
m177,649,63,38,0,2394
m200,655,58,46,0,2668
m206,656,56,49,0,2744
m215,663,53,47,0,2491
m223,676,53,51,0,2703
m231,682,51,49,0,2499
m255,703,58,46,0,2668
m332,696,61,39,0,2379
m336,750,60,44,0,2640
m340,757,62,42,0,2604
m354,759,52,49,0,2548
m355,762,56,46,0,2576
m363,765,53,47,0,2491
m369,774,57,46,0,2622
m373,778,65,44,0,2860
m373,781,66,38,0,2508
m371,782,67,38,0,2546
m372,782,67,38,0,2546
m368,713,63,74,0,4662
m386,747,53,55,0,2915
m324,712,67,43,0,2881
m291,716,128,70,0,8960
m254,702,190,90,0,17100
m404,735,60,49,0,2940
m422,731,66,43,0,2838
m441,718,62,45,0,2790
m463,718,66,39,0,2574
m481,723,70,24,0,1680
m531,731,65,37,0,2405
m571,753,60,46,0,2760
m599,777,37,61,0,2257
m603,791,33,68,0,2244
m599,793,31,69,0,2139
m587,802,39,62,0,2418
m566,809,47,56,0,2632
m545,820,54,48,0,2592
m530,827,56,47,0,2632
m515,832,55,47,0,2585
m484,843,64,34,0,2176
m448,844,69,29,0,2001
m400,837,70,30,0,2100
m351,829,72,29,0,2088
m321,822,70,39,0,2730
m310,815,68,36,0,2448
m304,785,56,51,0,2856
m296,753,43,60,0,2580
m281,709,40,63,0,2520
m254,691,53,50,0,2650
m250,692,56,47,0,2632
